краснодарский , темрюкский , за родину 
челябинская , магнитогорск , крайняя ул
челябинская , магнитогорск , николая кизименко ул
челябинская , магнитогорск , южная ул
челябинская , магнитогорск , пархоменко 
челябинская , магнитогорск , звездная ул
челябинская , магнитогорск , 31
челябинская , магнитогорск , дмитрия галкина ул
челябинская , магнитогорск , малый заезд
челябинская , магнитогорск , мельничная ул
челябинская , магнитогорск , глиера ул
челябинская , магнитогорск , заветная ул
челябинская , магнитогорск , 64
челябинская , магнитогорск , грузинская ул
челябинская , магнитогорск , черемуховый проезд
челябинская , магнитогорск , васнецова ул
челябинская , магнитогорск , артема ул
челябинская , магнитогорск , чапаева ул
челябинская , магнитогорск , радищева ул
челябинская , магнитогорск , ботаническая ул
челябинская , магнитогорск , 1-ая линия ул
челябинская , магнитогорск , волкова ул
челябинская , магнитогорск , пермская ул
челябинская , магнитогорск , кленовая ул
челябинская , магнитогорск , вячеслава пиксаева ул
челябинская , магнитогорск , александра лозневого ул
челябинская , магнитогорск , надеждина ул
челябинская , магнитогорск , покровская ул
челябинская , магнитогорск , якутская ул
челябинская , магнитогорск , гск лесопарк 
челябинская , магнитогорск , грибоедова ул
челябинская , магнитогорск , рождественский 
челябинская , магнитогорск , запрудная ул
челябинская , магнитогорск , брусницына ул
челябинская , магнитогорск , матросова ул
челябинская , магнитогорск , приозерная ул
челябинская , магнитогорск , цементников 
челябинская , магнитогорск , попутная ул
челябинская , магнитогорск , цветочная ул
челябинская , магнитогорск , демьяна бедного ул
челябинская , магнитогорск , заводская ул
челябинская , магнитогорск , краснофлотская ул
челябинская , магнитогорск , октябрьский 
челябинская , магнитогорск , весенний проезд
челябинская , магнитогорск , орловский 
челябинская , магнитогорск , складская ул
челябинская , магнитогорск , металлург-2 
челябинская , магнитогорск , шубина ул
челябинская , магнитогорск , ладыгина 
челябинская , магнитогорск , чехова ул
челябинская , магнитогорск , иркутская ул
челябинская , магнитогорск , барсучий 
челябинская , магнитогорск , кедровый проезд
челябинская , магнитогорск , павлика морозова 
челябинская , магнитогорск , рязанская ул
челябинская , магнитогорск , рысакова ул
челябинская , магнитогорск , витебский 
челябинская , магнитогорск , южный переход ул
челябинская , магнитогорск , станичная ул
челябинская , магнитогорск , семейная ул
челябинская , магнитогорск , дегтярева ул
челябинская , магнитогорск , суздальская ул
челябинская , магнитогорск , новосеверная ул
челябинская , магнитогорск , 1
челябинская , магнитогорск , 17
челябинская , магнитогорск , алтайская ул
челябинская , магнитогорск , фадеева ул
челябинская , магнитогорск , студенческая ул
челябинская , магнитогорск , миасская ул
челябинская , магнитогорск , тружеников ул
челябинская , магнитогорск , гск южный урал блок1 
челябинская , магнитогорск , олега кошевого ул
челябинская , магнитогорск , тагильская ул
челябинская , магнитогорск , 13
челябинская , магнитогорск , подвижников ул
челябинская , магнитогорск , казахская ул
челябинская , магнитогорск , западный 1 
челябинская , магнитогорск , дачная ул
башкортостан , абзелиловский , красная башкирия 
челябинская , магнитогорск , гск надежда 
челябинская , магнитогорск , гск калибровщик-2 
челябинская , магнитогорск , 10 насосная территория 
челябинская , магнитогорск , 50-летия магнитки ул
челябинская , магнитогорск , 9 мая ул
челябинская , магнитогорск , 9 января ул
челябинская , магнитогорск , 25 лет октября ул
челябинская , магнитогорск , 8 марта ул
челябинская , магнитогорск , сно им. мичурина-3 
челябинская , магнитогорск , правобережные очистные сооружения ул
челябинская , магнитогорск , янтарная ул
челябинская , магнитогорск , сно им. мичурина-6-пасека 
челябинская , магнитогорск , сенявина ул
челябинская , магнитогорск , таманская ул
челябинская , магнитогорск , надежды ул
челябинская , магнитогорск , вечерняя ул
челябинская , магнитогорск , бирюзовая ул
челябинская , магнитогорск , медовая ул
челябинская , магнитогорск , островная ул
челябинская , магнитогорск , земляничная ул
челябинская , магнитогорск , ягодная ул
челябинская , магнитогорск , живописная ул
челябинская , магнитогорск , пригожая ул
челябинская , магнитогорск , праздничная ул
челябинская , магнитогорск , пейзажная ул
челябинская , магнитогорск , яшмовая ул
челябинская , магнитогорск , ушинского ул
челябинская , магнитогорск , художника соловьева ул
челябинская , магнитогорск , яблочная ул
челябинская , магнитогорск , ореховая ул
челябинская , магнитогорск , золотистая ул
челябинская , магнитогорск , екатерининская ул
челябинская , магнитогорск , ивановский 
челябинская , магнитогорск , заповедная ул
челябинская , магнитогорск , черничная ул
челябинская , магнитогорск , пятницкая ул
челябинская , магнитогорск , армении 
челябинская , магнитогорск , аэродромная ул
челябинская , магнитогорск , ватутина ул
челябинская , магнитогорск , горняков ул
челябинская , магнитогорск , донбасский 
челябинская , магнитогорск , кузбасская ул
челябинская , магнитогорск , майский 
челябинская , магнитогорск , ржевского 
челябинская , магнитогорск , родниковая ул
челябинская , магнитогорск , черепанова ул
челябинская , магнитогорск , чимкентский 
челябинская , магнитогорск , ярославского ул
челябинская , магнитогорск , нижняя ул
челябинская , магнитогорск , астраханская ул
челябинская , магнитогорск , брянская ул
челябинская , магнитогорск , мраморная ул
челябинская , магнитогорск , нежный 
челябинская , магнитогорск , рябиновый 
челябинская , магнитогорск , петербургская ул
челябинская , магнитогорск , героя соцтруда василия котова ул
челябинская , магнитогорск , жигулевская ул
челябинская , магнитогорск , веселая ул
челябинская , магнитогорск , гранатовая ул
челябинская , магнитогорск , согласия 
челябинская , магнитогорск , тихая ул
челябинская , магнитогорск , цветущая ул
челябинская , магнитогорск , коллективная ул
челябинская , магнитогорск , соборная ул
челябинская , магнитогорск , олимпийская ул
челябинская , магнитогорск , монастырская ул
челябинская , магнитогорск , ольховская ул
челябинская , магнитогорск , осенняя ул
челябинская , магнитогорск , бородина ул
челябинская , магнитогорск , днепропетровская ул
челябинская , магнитогорск , новосельная ул
челябинская , магнитогорск , пестеля 
челябинская , магнитогорск , репина ул
челябинская , магнитогорск , изумрудная ул
челябинская , магнитогорск , казачий 
челябинская , магнитогорск , туймазы 
челябинская , магнитогорск , чебышева 
челябинская , магнитогорск , малая ул
челябинская , магнитогорск , карагайская ул
челябинская , магнитогорск , промышленный проезд
челябинская , магнитогорск , радонежская ул
челябинская , магнитогорск , академика заварицкого ул
челябинская , магнитогорск , белореченская ул
челябинская , магнитогорск , коралловый 
челябинская , магнитогорск , актерская ул.
челябинская , магнитогорск , салавата юлаева ул
челябинская , магнитогорск , щедрый 
челябинская , магнитогорск , серова ул
челябинская , магнитогорск , горького 
челябинская , магнитогорск , шекспира ул
челябинская , магнитогорск , парадная ул
челябинская , магнитогорск , азовский 
челябинская , магнитогорск , рубежная ул
челябинская , магнитогорск , молодежная ул
челябинская , магнитогорск , некрасова 
челябинская , магнитогорск , окружная ул
челябинская , магнитогорск , молочная ул
челябинская , магнитогорск , глазунова ул
челябинская , магнитогорск , омская ул
челябинская , магнитогорск , куликовская ул
челябинская , магнитогорск , бабушкина 
челябинская , магнитогорск , дальний 
челябинская , магнитогорск , крупской ул
челябинская , магнитогорск , очаковский 
челябинская , магнитогорск , помяловского ул
челябинская , магнитогорск , техники 
челябинская , магнитогорск , хлебный 2-й 
челябинская , магнитогорск , успенская ул
челябинская , магнитогорск , ижевская ул
челябинская , магнитогорск , фермерский 
челябинская , магнитогорск , красносельская ул
челябинская , магнитогорск , ясный 
челябинская , магнитогорск , станичный 
челябинская , магнитогорск , болотова проезд
челябинская , магнитогорск , кузбасский 
челябинская , магнитогорск , тургенева ул
челябинская , магнитогорск , музыкальная ул.
челябинская , магнитогорск , кусинская ул
челябинская , магнитогорск , механический проезд
челябинская , магнитогорск , рубиновая ул
челябинская , магнитогорск , созвездий ул
челябинская , магнитогорск , целинный 
челябинская , магнитогорск , монетная ул
челябинская , магнитогорск , купеческая ул
челябинская , магнитогорск , металлистов ул
челябинская , магнитогорск , озерный 
челябинская , магнитогорск , кузнечная ул
челябинская , магнитогорск , нечаевский 
челябинская , магнитогорск , классическая ул.
челябинская , магнитогорск , ушакова 
челябинская , магнитогорск , увельская ул
челябинская , магнитогорск , ялтинская ул
челябинская , магнитогорск , чебоксарская ул
челябинская , магнитогорск , кубанская ул
челябинская , магнитогорск , утесова 
челябинская , магнитогорск , овражный 
челябинская , магнитогорск , героя соцтруда сергея вавилова ул
челябинская , магнитогорск , левобережная складская линия 0 ул
челябинская , магнитогорск , отважный 
челябинская , магнитогорск , протасова 
челябинская , магнитогорск , орский 
челябинская , магнитогорск , героическая ул
челябинская , магнитогорск , лебединая ул
челябинская , магнитогорск , сталевара зинурова ул
челябинская , магнитогорск , рылеева ул
краснодарский , краснодар , белозерный 
краснодарский , краснодар , елизаветинская 
краснодарский , краснодар , знаменский 
краснодарский , краснодар , пригородный 
краснодарский , краснодар , ленина 
краснодарский , краснодар , дорожный 
краснодарский , краснодар , ленина ,-1 ао югтекс снт
краснодарский , краснодар , им 40-летия победы ул
челябинская , озерск , метлино 
челябинская , озерск , новогорный 
челябинская , верхнеуральский , кирса 
челябинская , верхнеуральский , сухтелинский 
челябинская , верхнеуральский , спасский 
челябинская , верхнеуральский , смеловская 
челябинская , верхнеуральский , краснинский 
челябинская , верхнеуральский , верхнеуральск 
челябинская , верхнеуральский , сабановский 
челябинская , верхнеуральский , форштадт 
челябинская , верхнеуральский , тайсара 
челябинская , верхнеуральский , горбуновский 
челябинская , верхнеуральский , эстонский 
челябинская , верхнеуральский , ивановский 
челябинская , верхнеуральский , дзержинка 
челябинская , верхнеуральский , новоозерный 
челябинская , верхнеуральский , сурменевский 
челябинская , верхнеуральский , уфимский 
челябинская , верхнеуральский , бабарыкинский 
челябинская , верхнеуральский , смеловский 
челябинская , верхнеуральский , подольский 
челябинская , верхнеуральский , смирновский 
челябинская , верхнеуральский , полосинский 
челябинская , верхнеуральский , казанцевский 
челябинская , верхнеуральский , нововоронинский 
челябинская , верхнеуральский , хлебинка 
челябинская , варненский , бородиновка 
челябинская , варненский , варна 
челябинская , варненский , городище 
челябинская , варненский , кызыл-маяк 
челябинская , варненский , красноармейский 
челябинская , варненский , большевик 
челябинская , варненский , толсты 
челябинская , варненский , комсомольский 
челябинская , варненский , красный октябрь 
челябинская , варненский , правда 
челябинская , варненский , заречье 
краснодарский , темрюкский , старотитаровская 
краснодарский , красноармейский , марьянская 
краснодарский , усть-лабинский , суворовское 
челябинская , кизильский , богдановское 
краснодарский , темрюкский , ахтанизовская 
башкортостан , сибай , пролетарская ул
башкортостан , сибай , массив гаражей куйбышева 7 
башкортостан , сибай , аккулова ул
башкортостан , сибай , нуриманова ул
башкортостан , сибай , горняков 
башкортостан , сибай , достоевского ул
башкортостан , сибай , массив гаражей учалинская 26 
башкортостан , сибай , отрадная ул
башкортостан , сибай , индустриальное 
башкортостан , сибай , коммунистическая ул
башкортостан , сибай , гк жигули 
башкортостан , сибай , кутузова ул
башкортостан , сибай , крупской ул
башкортостан , сибай , карьерная ул
башкортостан , сибай , лермонтова ул
башкортостан , сибай , гафури ул
башкортостан , сибай , 3/б ул
башкортостан , сибай , кирова ул
башкортостан , сибай , пионерская ул
башкортостан , сибай , смп-182 
башкортостан , сибай , старательская ул
башкортостан , сибай , туяляс 
башкортостан , сибай , курая ул
башкортостан , сибай , черняховского ул
башкортостан , сибай , гк туяляс 
башкортостан , сибай , массив гаражей пархоменко 
башкортостан , сибай , горького ул
башкортостан , сибай , сарбаева ул
башкортостан , сибай , мирная ул
башкортостан , сибай , полевой 
башкортостан , сибай , пушкина ул
башкортостан , сибай , шахтерская ул
башкортостан , сибай , зилаирское 
башкортостан , сибай , белова ул
башкортостан , сибай , массив гаражей достоевского 2а 
башкортостан , сибай , мостовой 
башкортостан , сибай , заречная ул
башкортостан , сибай , гк луч 
башкортостан , сибай , ленина ул
башкортостан , сибай , парковая ул
башкортостан , сибай , комсомола ул
башкортостан , сибай , айсувака ул
башкортостан , сибай , асфандиярова ул
башкортостан , сибай , массив гаражей пионерская 7 
башкортостан , сибай , сибаева ул
башкортостан , сибай , сельхозтехника ул
башкортостан , сибай , братьев кашириных ул
башкортостан , сибай , торговый 
башкортостан , сибай , есенина ул
башкортостан , сибай , учалинская ул
башкортостан , сибай , 8 марта ул
башкортостан , сибай , загородная ул
башкортостан , сибай , макрушина ул
башкортостан , сибай , калинина ул
башкортостан , сибай , чайковского ул
башкортостан , сибай , речная ул
башкортостан , сибай , труда ул
башкортостан , сибай , пархоменко ул
башкортостан , сибай , 40 лет октября ул
башкортостан , сибай , массив гаражей пионерская 44 
башкортостан , сибай , бабича ул
башкортостан , сибай , акъярская ул
башкортостан , сибай , дорожный 
башкортостан , сибай , подольская ул
башкортостан , сибай , маяковского ул
башкортостан , сибай , массив гаражей пионерская 28 
башкортостан , сибай , фрунзе ул
башкортостан , сибай , заки валиди ул
башкортостан , сибай , тагирова ул
башкортостан , сибай , островского ул
башкортостан , сибай , привокзальная ул
башкортостан , сибай , юлалинская ул
башкортостан , сибай , басырова ул
башкортостан , сибай , дружбы ул
башкортостан , сибай , бакыр-узякская ул
башкортостан , сибай , уметбаева ул
башкортостан , сибай , спартака ул
башкортостан , сибай , южная ул
башкортостан , сибай , матросова ул
башкортостан , сибай , исянбаева ул
башкортостан , сибай , набережная ул
башкортостан , сибай , массив гаражей люксембург 21 
башкортостан , сибай , морозова ул
башкортостан , сибай , куйбышева ул
башкортостан , сибай , аэропортная ул
башкортостан , сибай , вокзальная ул
башкортостан , сибай , строителей ул
башкортостан , сибай , кленовая ул
башкортостан , сибай , гагарина ул
башкортостан , сибай , батыра валидова ул
башкортостан , сибай , уфимская ул
башкортостан , сибай , цветочная ул
башкортостан , сибай , горная ул
башкортостан , сибай , буранная ул
башкортостан , сибай , аргаяшская ул
башкортостан , сибай , сакмар ул
башкортостан , сибай , чернышевского ул
башкортостан , сибай , дзержинского ул
башкортостан , сибай , ковыльная ул
башкортостан , сибай , толстого ул
башкортостан , сибай , 8-й 
башкортостан , сибай , яблоневый 
башкортостан , сибай , люксембург ул
башкортостан , сибай , баймакская ул
башкортостан , сибай , цеткин ул
башкортостан , сибай , салавата юлаева ул
башкортостан , сибай , уральская ул
башкортостан , сибай , энгельса ул
башкортостан , сибай , котовского ул
башкортостан , сибай , асфальтная ул
башкортостан , сибай , алдар батыра ул
башкортостан , сибай , нефтебаза ул
башкортостан , сибай , гк камышлы-узяк 
башкортостан , сибай , ковалева ул
башкортостан , сибай , муртазина ул
башкортостан , сибай , восточное 
башкортостан , сибай , гадельшинская ул
башкортостан , сибай , тукая ул
башкортостан , сибай , рыбакова ул
башкортостан , сибай , октябрьская ул
башкортостан , сибай , гареева ул
башкортостан , сибай , коммунаров ул
башкортостан , сибай , стадионный 
башкортостан , сибай , гоголя ул
башкортостан , сибай , блюхера ул
башкортостан , сибай , боброва ул
башкортостан , сибай , сарматская ул
башкортостан , сибай , альмухаметова ул
башкортостан , сибай , кольцевая ул
башкортостан , сибай , центральная ул
башкортостан , сибай , российская ул
башкортостан , сибай , мутаева ул
башкортостан , сибай , акназарова ул
башкортостан , сибай , космонавтов ул
башкортостан , сибай , овая ул
башкортостан , сибай , коркина ул
башкортостан , сибай , гк рудник 
башкортостан , сибай , советская ул
башкортостан , сибай , янтилина ул
башкортостан , сибай , тасимова ул
башкортостан , сибай , северная ул
башкортостан , сибай , энтузиастов ул
башкортостан , сибай , озерная ул
башкортостан , сибай , карагайлы ул
башкортостан , сибай , шаймуратова ул
башкортостан , сибай , мамбеткулова ул
башкортостан , сибай , калачева ул
башкортостан , сибай , юбилейная ул
башкортостан , сибай , звездная ул
башкортостан , сибай , симакова ул
башкортостан , сибай , аструм ул
башкортостан , сибай , южный индустриальный проезд
башкортостан , сибай , биишевой ул
башкортостан , сибай , 11-й 
башкортостан , сибай , петропавловского ул
башкортостан , сибай , мидхата габитова ул
башкортостан , сибай , кривошеев ул
башкортостан , сибай , щорса ул
башкортостан , сибай , гк юлдар .
башкортостан , сибай , любушкина ул
башкортостан , сибай , интернациональный 
башкортостан , сибай , байкаринская ул
башкортостан , сибай , рассветная ул
башкортостан , сибай , сулейманова ул
башкортостан , сибай , элеваторная ул
башкортостан , сибай , вишневая ул
башкортостан , сибай , камаганская ул
башкортостан , сибай , худайбердина ул
башкортостан , сибай , энергетиков ул
башкортостан , сибай , гарипова ул
башкортостан , сибай , акташ 
башкортостан , сибай , медовая ул
башкортостан , сибай , айхальская ул
башкортостан , сибай , уралтау ул
башкортостан , сибай , акбузат ул
башкортостан , сибай , талкасская ул
башкортостан , сибай , магнитогорская ул
башкортостан , сибай , степная ул
башкортостан , сибай , култубанская ул
башкортостан , сибай , березовая ул
башкортостан , сибай , геологов ул
башкортостан , сибай , гафарова ул
башкортостан , сибай , малихова ул
башкортостан , сибай , туялясская ул
башкортостан , сибай , профсоюзная ул
башкортостан , сибай , кинзи арсланова ул
башкортостан , сибай , казнабаева ул
башкортостан , сибай , северных амуров ул
башкортостан , сибай , станционный 
башкортостан , сибай , первомайская ул
башкортостан , сибай , таштугайская ул
башкортостан , сибай , светлая ул
башкортостан , сибай , мичурина ул
башкортостан , сибай , чапаева ул
башкортостан , сибай , бурангулова ул
башкортостан , сибай , сакко и ванцетти ул
башкортостан , сибай , гк строитель 
башкортостан , сибай , джалиля ул
башкортостан , сибай , некрасова ул
башкортостан , сибай , молодежная ул
башкортостан , сибай , 9 мая ул
башкортостан , сибай , сиреневый 
башкортостан , сибай , медная ул
башкортостан , сибай , хуснуллы хамитова ул
башкортостан , сибай , нет улицы
башкортостан , сибай , лесная ул
башкортостан , сибай , тельмана ул
башкортостан , сибай , черемуховая ул
башкортостан , сибай , хлебозаводская ул
башкортостан , сибай , 108 ул
башкортостан , сибай , димитрова ул
башкортостан , сибай , ибрагимова ул
башкортостан , сибай , камышлы-узякская ул
башкортостан , сибай , чкалова ул
башкортостан , сибай , ханова ул
башкортостан , сибай , дачная ул
башкортостан , сибай , давлетшиной ул
башкортостан , сибай , ветеранов ул
башкортостан , сибай , 3-й б 
башкортостан , сибай , горный 
башкортостан , сибай , район водохранилища «туяляс»
башкортостан , сибай , радужная ул
башкортостан , сибай , таналыкская ул
башкортостан , сибай , луначарского ул
башкортостан , сибай , солнечная ул
башкортостан , сибай , ватутина ул
башкортостан , сибай , вербная ул
башкортостан , сибай , металлургов ул
башкортостан , сибай , свободы ул
башкортостан , сибай , цюрупы ул
башкортостан , сибай , жукова ул
башкортостан , сибай , малиновая ул
башкортостан , сибай , рудничный 
башкортостан , сибай , мукасовская ул
башкортостан , сибай , асылташ ул
башкортостан , сибай , лазо ул
башкортостан , сибай , революционная ул
башкортостан , сибай , давлетовская ул
башкортостан , сибай , сосновый 
башкортостан , сибай , уютная ул
башкортостан , сибай , кусимова ул
башкортостан , сибай , мустая карима ул
башкортостан , сибай , атайсал ул
башкортостан , сибай , ирандык 
башкортостан , сибай , тепличная ул
башкортостан , сибай , булякова ул
башкортостан , сибай , злобина ул
башкортостан , сибай , рябиновая ул
башкортостан , сибай , ольховая ул
башкортостан , сибай , яшмовая ул.
башкортостан , сибай , зеленый 
башкортостан , сибай , коннопарковая ул
башкортостан , сибай , сызранская ул
башкортостан , сибай , автодорога сибай - кусеево ул
башкортостан , баймакский , культабан 
адыгея , тахтамукайский , энем 
адыгея , тахтамукайский , афипсип 
адыгея , тахтамукайский , новобжегокай 
адыгея , тахтамукайский , панахес 
адыгея , тахтамукайский , новая адыгея 
челябинская , кизильский , сыртинский 
челябинская , кизильский , кизильское 
челябинская , кизильский , увальский 
челябинская , кизильский , каменка 
челябинская , кизильский , новопокровский 
челябинская , кизильский , урал 
челябинская , кизильский , ершовский 
челябинская , кизильский , чернышевский 
челябинская , кизильский , гранитный 
челябинская , кизильский , ильинка 
челябинская , кизильский , соколки 
челябинская , кизильский , комсомольский 
челябинская , кизильский , верхняя сосновка 
челябинская , кизильский , новоершовский 
челябинская , кизильский , пролетарка 
челябинская , кизильский , грязнушинский 
челябинская , кизильский , первомайка 
челябинская , кизильский , мусин 
краснодарский , темрюкский , курчанская 
краснодарский , темрюкский , голубицкая 
краснодарский , темрюкский , темрюк 
краснодарский , темрюкский , пересыпь 
краснодарский , темрюкский , стрелка 
краснодарский , темрюкский , соленый 
краснодарский , темрюкский , октябрьский 
краснодарский , абинский , мингрельская 
краснодарский , абинский , федоровская 
краснодарский , абинский , васильевский 
краснодарский , абинский , екатериновский 
краснодарский , абинский , косовичи 
краснодарский , абинский , свердловский 
краснодарский , абинский , холмская 
адыгея , адыгейск , псекупс 
башкортостан , абзелиловский , покровка 
башкортостан , абзелиловский , кусимовского рудника 
башкортостан , абзелиловский , геологоразведка 
башкортостан , абзелиловский , ташбулатово 
башкортостан , абзелиловский , зеленая поляна 
башкортостан , абзелиловский , михайловка 
башкортостан , абзелиловский , абзелилово 
башкортостан , абзелиловский , давлетово 
башкортостан , абзелиловский , таштимерово 
башкортостан , абзелиловский , уральский 
башкортостан , абзелиловский , тупаково 
башкортостан , абзелиловский , гусево 
башкортостан , абзелиловский , самарского отделения совхоза 
башкортостан , абзелиловский , авняш 
башкортостан , абзелиловский , первомайский 
башкортостан , абзелиловский , якты-куль 
башкортостан , абзелиловский , баимово 
башкортостан , абзелиловский , кусимово 
башкортостан , абзелиловский , теляшево 
башкортостан , абзелиловский , янгельское 
башкортостан , абзелиловский , янгильское 
башкортостан , абзелиловский , елимбетово 
башкортостан , абзелиловский , самарское 
башкортостан , абзелиловский , янги- 
башкортостан , абзелиловский , биккулово 
башкортостан , абзелиловский , улянды 
башкортостан , абзелиловский , селивановский 
башкортостан , абзелиловский , озерное 
башкортостан , абзелиловский , кушеево 
башкортостан , абзелиловский , борисово 
адыгея , теучежский , пчегатлукай 
челябинская , агаповский , черниговский 
челябинская , агаповский , агаповка 
челябинская , агаповский , приморский 
челябинская , агаповский , гумбейский 
челябинская , агаповский , наваринка 
челябинская , агаповский , субутак 
челябинская , агаповский , новобуранное 
челябинская , агаповский , муравейник 
челябинская , агаповский , буранная 
челябинская , агаповский , желтинский 
челябинская , агаповский , требиат 
челябинская , агаповский , аблязово 
челябинская , агаповский , первомайский 
челябинская , агаповский , верхнекизильское 
челябинская , агаповский , ближний 
челябинская , агаповский , солодянка 
челябинская , агаповский , буранный 
челябинская , агаповский , магнитный 
челябинская , агаповский , утренняя заря 
челябинская , агаповский , наровчатка 
челябинская , агаповский , озерный 
челябинская , агаповский , гумбейка 
челябинская , агаповский , янгельский 
челябинская , агаповский , малиновка 
челябинская , агаповский , новоянгелька 
челябинская , агаповский , кировский 
челябинская , агаповский , харьковский 
челябинская , агаповский , воздвиженка 
челябинская , агаповский , новобурановка 
челябинская , агаповский , светлогорск 
челябинская , агаповский , ржавка 
челябинская , агаповский , черноотрог 
челябинская , агаповский , просторный 
челябинская , агаповский , горный 
челябинская , агаповский , вперед 
челябинская , агаповский , зингейка 
челябинская , агаповский , заречный 
челябинская , агаповский , базарский 
челябинская , агаповский , ташказган 
адыгея , красногвардейский , красногвардейское 
адыгея , красногвардейский , хатукай 
адыгея , красногвардейский , набережный 
